レス番号,内容,感情スコア
16,やっぱリコは中盤より前で使うべきだろ SBで使う選手じゃない ベルナルドのポジションで使うべき,-4
17,リコいいのあるじゃん,-4
18,リコいいシュートだった,-4
19,追加点きたー,-4
20,最高のゴールキタ(゚゚),-4
21,ハーランドきたー あらたなホットラインや,-4
22,サビーニョすげえええええええええ,-1
23,サヴィーニョハーランドホットライン,-4
24,サビーニョハーランドきたーーーーーーーーーーっ,-4
25,これは後半ブースト来ますわ サビーニョ怪我しないで,-4
26,やっぱ仕掛けてクロスなんだよな ハゲの不自由サッカーはなんだったのか,0
27,トラップステップドリブルクロス 一連の流れが左ビーニョ完璧だったな,-4
28,またキタ(゚゚),-3
29,サヴィーニョからハーランドまたきたー,-4
30,サビちゃん最高,-4
31,このコンビ最強すぎだろ,-4
32,ウェストハムマジでありがとう,-4
33,ハーランドの使い方はこれでええんよな,-4
34,フォーデンもきたーーーーーーーーーーっ,-4
35,久々に楽しい試合だ,-4
36,ヒダリーニョでご飯三杯いけるわ ハーランドのスピードを一番うまく引き出せるのはファビーニョだけ,-4
37,やっぱ試合が1週間空くと動きが全然違うなぁ,0
38,コバチ乙 今日めっちゃ守備してたな,-4
39,コバチ怪我とかしてないといいんだけどな,-2
40,ウォーカーもう,-4
41,ウォーカーここから退場とかやめてくれよ,4
42,こっわ,-4
43,あーあ決められちゃったか,-4
44,あーあ 完全復活はまだ遠い,4
45,今のもウォーカーが戻んねえからじゃね,0
46,失点シーンも斜めに裏走られたの完全に見落としてたよな,4
47,オルテガ大丈夫かな 思いっきり背中打った感じだけど,-1
48,ギュンが本当に何もしねー 触らないし守備もダメだしすぐ奪われるしどういうつもりなんだ,4
49,ギュンドアン入った途端に守備が緩くなるのほんとつらい,4
50,連勝キタ(゚゚),-4
51,良い形で勝ったよかった,-4
52,お疲れ ほんと守備固め出来ないけど試合は楽しかった,-4
53,ウォーカーとかギュンドアン見てると相対的にリコがよく見えてくる不思議,-4
54,ギュンも昔は気の利いたスルーパスとか出せてたのになぁ コバチがボール持つと中央で前へボール運ばれるの警戒して相手を引きつけれるのは強みよな,-4
55,やっとサビーニョは左とわかったかハゲも 右でカットインの選手じゃないのよ,-3
56,とりあえずウォーカーギュンドアンの代替はもう冬に獲っとくべきだな,-4
57,結局テンポよくいいパス出せればハーランドなんてすぐ決めるんだわそれにしてもサヴィーニョ右サイドだとあれだったのに左だとすげえな,-1
58,レヴァークーゼンと一緒にジローナが去年強いって話題になったとき見てた人は本職左なのみんな知ってた 知らなかったのはペップだけ ドクも本職と逆で使ったりしてたし何考えてるかわからん,3
59,ドクもサヴィーニョと同じでたまに逆足サイドもやるけどブレイクしたのは順足サイドなんだよな スタートから左サヴィーニョ右ドクで見たいわ,-4
60,シーズン序盤でハゲはドク左サヴィーニョ右でスタートしたのに選手同士が勝手に左右変えてた試合あったな,1
1,プレミアの引き分け王また引き分け,-4
2,点は入ったけど淡泊な試合だったなー,-4
3,ペドロのおかげで引き分けに持ち込めただけでもいいか,-4
4,勝てたやろ,-4
5,三笘今季最悪の出来じゃね やっぱコンディション悪いのかな,4
6,こつこつと勝ち点を1ずつ集めてます,-4
7,普通に良い試合だったと思う,-4
8,また引き分けで草 ペドロ神のおかげやぞ,-4
9,サカとティンバーいなかったのにな てか三笘調子悪そうだった,4
10,やっぱコンディション不良かもな三笘,4
11,たまには晴天の試合も見たいんですイギリスの天気さんよろしく,-4
12,三笘のスタベンはコンディションだね 腰か右足痛めてそう,4
13,足元へのパスが来なかったななんかロングボール増えた気がするブライトンらしくない,4
14,三笘トラップがボロボロだった フォーム落としてるからベンチスタートなんかな,0
15,あんなクソパスばっか出されてトラップ乱れてるとか言われてもな 何回後ろ向きでトラップさせんだよ,2
16,ブライトンはウェルベックみたいになってるトップが中盤に降りて中継役をやる選手が居てこその戦術だよな その役はペドロよりルターの方が合ってる,-4
17,ファンヘッケの三苫へのパスの質が今日は悪すぎた ありゃ無理だよ,4
18,VARある時代にとことん厭らしくプレーできるフェルトマンがすごかった そのくせイエローになったのはプロフェッショナルファウルのときだけってのが更にすごい アーセナルも決定力なさ過ぎて強いって感じではなかったな 三笘も雨だしそんなに調子良くもなさそうだしで普通にスタメン落ちぽかった それでもアディングラとたいして変わらん感じなのはブライトンにとって頭が痛いところだろうな,2
19,フェルトマンとウェブスター良かったイゴールとダンク欠いても失点抑えられそうでホッとした,-4
20,ウェブスター今日よかったなちょっとだけ信頼度上がったぞ,-4
21,ウェブスター心配だったけどそつなくこなしてたね,-4
22,ミンテの速い球全速力でニア突っ込んでたら間に合ってただろうけどそもそもスタート位置が低いんだよな ピニャンとバランス取るためだけどピニャンを介護しても何も生まれないし守備的sbとれとずっと思うわ,-2
23,今日は雨のせいか味方からの糞パスが多すぎてコンディションどうこうの判断がわからんわ ただ守備は相変わらず頑張ってたから前半の失点は防げたかもな,0
24,良い時の三笘なら雨でもトラップできそうな場面ミスってたイメージあるけど分からんね,1
25,この悪天候続くならなおさら体冷えたら故障したりいいことないからお休みでもイイ,-1
26,いきなりエンシソ2試合使ってまた使わなくなったりアディングラスタメンにしてみたり頑なにグルダ使い続けたり ヒュルツェラーが何をしたいのか全然わからん,4
27,ギャンブル的要素に期待してんだと思う,-4
28,今日に関してはヒュルツェラーやれる事やった感じするけどなコーナー対策用意してきたおかげで引き分けに持って行けたし交代策も間違ってなかったしスタメンで何で〇〇使わないんだとかはあるけどもこの試合でヒュルツェラー責めるのは違うわ,-1
29,降格争いしてるクラブに追いつかれて引き分けとか負けた上に内容もクソみたいな事がちょこちょこあったからな アーセナル相手に引き分けでヤバいピンチも2つくらい今のチームの状態でこれならじゅうぶんだ,0
30,終始攻め手にかけたな,-4
31,もうスローインも全然歩いてるし限界だったな とりあえず前線は誰か取らないとだな,-2
32,ひでえ試合だ コンディションが終わりすぎてるし交代カードも切れねえし ヌワネリ変えるの早すぎたとは思う,-4
33,ヌワネリもっと引っ張ってよかったんでは,-4
34,トーマス判断もキックもおかしかった,4
35,頭同士ぶつかってPKになりました それだけやん今期のブライトン戦なんなの,-3
36,ドリブラー居なさすぎる どうやって点取るんだよこれ,2
37,マル右サイド置いても何も起きねえわ トロサール右の方がまだマシじゃないのこれ,0
38,でもヌワネリゴール以外はキープも収めるのもできてなかったから仕方ない,4
39,マルティネッリができてたかというと まあ1点リードしてたしトーマスの介護とヌワネリの起用制限含めて交代は悪い策ではなかったよね ただ交代先のWGがいなすぎるだけ,-2
40,むしろヌワネリをもっとゴールに近いポジションで使うべき,-4
41,折り返しでサカいなくて11ポイント差はちょっと遠いなと言うしかないな 上見る前に自分たちがやることやらなきゃいけないわ,1
42,今シーズンはどっちもあることが大体悪い方にいってるな ここ数シーズンは上振れ多かったし揺り戻しかな しかし交代できる選手はいないわ出てくるのも調子よくないわでなかなか厳しい体調面,4
43,まあ引き分けでしょうがない展開だった リバプール楽に逃げそうだ追うほうが勝ち点ボロボロこぼしてるし,1
44,サカの怪我よりウーデが全く調子が上向かない方がやべえな,0
45,マジでつまらんとしか言えん試合だったな 日程終わってるし案の定のテイラーだし選手は選手で誰からも覇気が感じれられんしアルテタもいつも通り策はねーし,0
46,正直打つ手なかったしやっぱりガクっと後半落ちたな ライスも重そうだったしウーデはコンディション最悪 高さ勝負もハヴァーツいないし,4
47,メリーノに夢中でWGとCFを先延ばしにしたのが最大の原因だな アルテタのメリーノに対する期待値がどれほどかは知らんがこの程度なら30mの価値はないなどうせ来年でフリーだったし一年待って他の選手狙った方がよっぽど良かった,-4
48,ずっと輝かなかったジャカを 一列上げてハマったのが アルテタは忘れられないんだ アタッカー補強なしで 昨季ハヴァーツ今季メリーノと 左IHに無駄遣いしてる,-4
49,夏の移籍市場でまともに前線補強しないくせに放出だけ調子乗ってしまくってたところからこうなるのは見えてたな ネルソンとか出す理由ひとつもなかったろ,4
50,ストライカーの問題じゃないだろう今日は そこまで持って行けてないやん,4
51,ストライカーじゃなくてジェズスが連戦でプレー精度がガクって落ちたせいでロングボール蹴ってもまともにおさめられんし縦パスもキープ出来ないからラインが押し上げられん方が問題だった ぶっちゃけ今日はブライトンが前掛かりだった分ハヴァーツが最前線にいれば恐らくロングボールでプレス回避してもうちょいシンプルにボール運べたはずなんよ,1
52,正直これは夏の補強失敗が響いてるな 怪我多いけカラフィオーリが使えてるぐらいでスターリングは論外だしメリーノも全くよかねえわ ほんで前線足りてないわけだし夏から始まってたわけだ,0
53,スターリング獲得面白いって言ってたやつ多いし メリーノも噂になったら絶対獲得しろって流れだったわw 結果論がすぎるって,-4
54,スターリングは前線にまともな噂なく最終日までもつれ込んだからもう取るだけマシって風潮だったかと,2
55,病気でハヴァーツまでいなかったしできることが限られていた か優勝するには勝つしかないのはわかるけどこういう試合の後引きずらないで次勝つのが重要,-4
56,もうそんな悠長な事言える勝ち点差じゃないよ,0
57,中2日アウェイ連戦とかただでさえキツイのにチーム内で病気蔓延してるのついてなさすぎる 来シーズンは運気戻ってこい,2
58,メリーノは足元そこそこ出来るけど超絶上手いわけでもないし何よりジャカとタメ張れるレベルで鈍足とは聞いてなかった 守れる範囲が狭すぎるし相手が少しでもスピードに乗ってると簡単に躱される 多分メリーノのベストポジションは潰しタイプのアンカーだと思うしIHとしては機動力と特に高くないパス精度が致命的,4
59,スペインだとメリーノのデカさと強さが効いてたのよ マドリー以外で黒人だらけのチームなんて皆無だし まぁアーセナルでも頑張ってるとは思うけどライスとの兼ね合いがね,-4
60,結局トーマスだってスペインだとめちゃくちゃ体強い選手だったけどプレミアだとまあいょっと強いぐらいでむしろ技巧派だし リーガからは技術が売りの選手取らなきゃダメだな,3
61,ライスと並べてりゃそりゃ手堅いチームになっちゃうわな どっちかにもっと創造性があればね,-4
62,別に今日だけの出来で言うわけじゃないけどジョルジのここまでの起用具合とトーマスのハイパフォーマンス見るにジョルジは今シーズン限りかな トーマスは何がなんでも延長しないと,-4
63,アルテタ(PK判定について)このような判定はこれまで見たことがない また初めての判定が更新されてしまったか,-2
64,ヌワネリも怪我かよ不運すぎて笑えねぇ 過払いしてでもFW必須,1
65,ドリブルで抜くことを諦めてるマルティネッリと二桁得点がやっとのCF陣じゃ戦術でどうにかするのはきついわ 極論左にムシアラCFにイサクなら問題はほぼ解決してる,0
66,まあその二人取ってこいとは言わないけど去年のシティがハーランドで今季リバプールはサラーで大した結果出してないけど一応チェルシーはパーマーって数字依存してる選手いるわけだ もはやプレミアの優勝争いってそのぐらいの個がある選手当てなきゃ挑めないな 絶対に日程や怪我人で内容悪い時が来るんだしその時にこいつだけで勝ったなみたいな活躍できる選手は要る,-3
67,リプレイ見たらボールに触った後の接触じゃん これでPKってなんなんだろう ほんと意味不明,4
68,PKありとはいえxGも完敗だったようだしブライトンみたいなカウンターチームには攻め切らんと 後半は酷かった,4
69,試合を安定化するために速攻を無くしてるけど 攻守に安定しすぎて試合が動かん,4
1,マグワイア1年延長,-4
2,BREAKING Manchester United trigger oneyear option to extend Harry Maguires contract until June 2026 We will trigger our option we need Harry a lot says Rúben Amorim He needs to improve as a leader because we are starving for leaders on the pitch 速報マンチェスター・ユナイテッドがハリー・マグワイアとの契約を2026年6月まで延長する1年間のオプションを発動 我々はオプションを発動するだろうハリーが本当に必要なんだとルーベン・アモリムは言う 彼はリーダーとして成長する必要がある我々はピッチ上のリーダーを渇望しているからだ 草,-4
3,アマドとの契約延長が間近 マグワイアと延長OP行使 ラッシュは体調不良でトレーニングしておらずリバポ戦欠場濃厚 うおおおおおおおおおおおおお,3
4,少し位のアマモリ程度で騒ぐんじゃねえ 我々はFCマグワイヤだ,0
5,マグ兄1年延長 これでもし夏売るってなってもお金残してくれる,-4
6,マグワイアに誰が金払うの,-3
7,年俸だけ妥協出来れば普通にプレミアや他国で欲しがるチームあるだろ,-4
8,デリフト一人じゃ変わらんのか,-3
9,マグワイアなんかいつまで使ってるんだよ そんなんだから14位なんだろ,-3
10,マグワイアに文句言ってたのにデリフト連れて来たのは何だったんだろうな結局マグワイアの方が良い始末だし,-2
11,元ユナイテッドエヴラ ハリー・マグワイアにキャプテンマークの腕章を返しなさい 彼がリーダーシップを発揮してきたのだ,-4
12,ブルーノよくキャプテンとして頑張ってきたけどもう限界だわな,4
13,ブルーノ他のクラブだったらもっと輝けたしタイトルもたくさん獲れたんだろうな 悲しい,4
14,ケインせやな,0
15,普通ダービー前にマグ兄契約延長するかね 契約延長した選手は漏れなくパフォーマンスが落ちるのにな ユナイテッドあるあるを知らないアモリムはダメだこれ,3
1,ベリンガムだああああああ,-4
2,まじかよ,-4
3,王様ありがとう,-4
4,やばすぎマドリーはマドリーだったわ,-4
5,ベリンガムの圧倒的リーダー感,-4
6,まさかの でもさすがの決定力,-4
7,これ決めるの結構むずいのに確実に決めるさすがだわ,-4
8,勝ったああああああああああああああああ,-4
9,あぶなー,4
10,10年で2勝しかできてないメスタージャ攻略 ゴミ試合から神試合へ,-4
11,今のは入ってても祝福できたわw 完璧な流れと形だった,-4
12,苦手なメスタージャ苦手な休暇明けに最悪の流れで勝てたのは最高だわ,-4
13,暫定首位になったなアトレティコ1試合少ないけど,-4
14,エンバペは最後足が回っていなかったな カマちゃんもテンションが上がっていたのは分かるが簡単に飛び込んだのは早計だった ヴィニは猛省しろ,4
15,いやー諦めないでよかった これぞマドリー,-4
16,やっぱりアセンシオ使えや 咄嗟の機敏さと刈りとり方やクリアの判断みてもチュアメニより全然いいわ,-4
17,ヴィニなぁ 審判のあの詰め方で追加処分くらってもおかしくないしこれでまた他サポのネガキャン加速するわな 必要以上に差別やブーイング食らってイライラするのは分かるけどそろそろ冷静になって欲しいわなエースなんだし,-2
18,もうこれはずっと思ってるんだけど永遠に卵が先か鶏が先か問題になるんだよな 負のスパイラルでキリがない,4
19,やっぱ過剰に反応したり煽り返したりするから向こうも効果あるわってずっと続けてる訳だから ゴミどもがまた何かやってるわって相手にしないのを続けるしかないと思うわ そりゃ自分だけ理不尽に差別やブーイングされてフラストレーション溜めないのは難しいけど,4
20,今回もヴィニがマドリーの選手たちに寄付しようって言って一番初めにバレンシアに寄付したりしてんだけどね それなのに試合開始前からブーイングだからな 民度が終わっとるわ,3
21,一人減って相手のマークがそれぞれ曖昧になったのよ ブラヒムも左にきたり入れ替わりあったりで ヴィニがどうこうよりそういうところでいい方向にいった 右がロドリゴとバスケスで後ろチュアメニはもう厳しいって せめてバペが右に流れてくればいいけど滅多に来ないし フェデが攻撃参加できない状況はよろしくない,4
22,ロドリゴよりブラヒムメンディよりカマが先発に相応しいと思うけどな,-4
23,ブラヒム・ディアスのが絶対良いよね ただカマの方は本人が激戦区なMFとして希望だからねえ,-4
24,ベリンガムって全ての局面でサボらずに抜け目なく狙ってるの凄すぎるわ これで21歳ってどんな怪物だよ,-4
25,ルール読んだけどPKのやつ枠外した場合でもキッカーに影響与えてたらやり直しなんじゃん 反対側に飛んだとかじゃない限り影響与えてるんだからあれは完全にやり直しさせないと駄目なやつだわ,4
26,抗議したらやり直しなったと思うけどなかったからそれまで,0
27,ラリーガ最速勝ち点5000ポイント達成,-4
28,メスタージャはルール無用だろ,1
29,バスケスの守備時に中絞らないで裏に通されるのまじやめて フェデはそこきっちり絞るぞ本職じゃないのに,-2
30,次はコパとスーパーカップ リーグ戦は20日まで無し,0
31,1月6日 国王杯 1月9日 スーペルコパ 1月12日 スーペルコパ決勝 1月19日 リーグ戦 日程すごすぎて草,-4
1,ティアニーのセルティック復帰はもう規定路線だな ロマーノも後追い,-4
2,ティアニーもう27なのか,-1
3,ティアニーはどうけ契約解除になるかね 1年延長OP行使せず25年夏にはフリーやし 古巣復帰とは言え超絶スペだしそんな選手にわざわざセルティックが移籍金払うとは思えんけど,0
4,ドライローンからのフリーやろティアニーは 延長してもまた怪我して給料が無駄になると判断されたんだろ ソシエダでもスペってユーロで怪我して長期離脱だから見切られてもしゃあない,3
5,温暖なスペインでもスペったティアニーは環境関係なかったね,-2
6,まだバリバリなのにスコットランドに戻るのも勿体無いように思えてしまうな,3
7,2年くらい営業かけたけどティアニー売れなかったな,4
8,そらいつも通り怪我してたし,4
9,ティアニーは代表でもロバートソンがいるしな 代表でも左CBとかやっているからそこに慣れたら面白い存在にはなるけどきついわな,4
10,カラバオの新城戦がサヨナラゲームの可能性が高いなティアニー その前にスットコに戻るかもだが,-4
11,先日のカラバオにティアニーでたけど 次も出すのかな 怪我すると移籍破談しちゃうけど,2
12,勝ってたら後半40分くらいから投入それでもスぺるリスクはあるが 引き分けもしくは負けてたらそのままサヨナラ てな感じじゃね さすがにスタメンはないと思われ,-1
13,ティアニーすきだからベンチで腐ってる姿はみとうないあのロクでも無い時期に頑張ってた選手,-4
1,サディクは明日 の健康診断を受ける予定です 彼はシーズン終了までローンでプレーするつもりだ 買取オプションは強制ではない,-4
2,サディク人気何やね 噂にでてなかったバレンシアが獲得 今期降格圏やもんね 冬移籍はこうって感じの移籍 そして強制じゃないって事は買取オプション自体は付けたんやね,-2
3,サディクがバレンシア救って1部残留まで見えた,-4
4,ソシエダの戦術には合わないけどボール渡してくれればなんとかなるでしょ,-4
5,他の人のレスとかぶってるけどまあ一応 サディクはもともとアスリート能力高いしね ソシエダのサッカーに合わせられなかっただけで環境変わってメンタルが整えば結果も変わる可能性ある 行った先で頑張ってもらいたいっすね,-4
6,サディク的にはヘタフェ良いと思うけどね 今期開幕時から話合ったっぽいし,-4
7,我らがサディクがとうとう・・,-3
8,ほんとだw xcomFabrizioRomanostatus1875100279085133993tlMpaao5oMbiPuEy_RB3wws19 さよならサディク 怪我が無ければ,-4
9,サディクメディカル通ったんやな おめでとう,-4
10,正直ソシエダよりバレンシアの方が合ってると思うし環境変わったらサディクも変わる可能性あると思うから頑張れ,-4
11,サディクに関しては全く評価してないけど 良い意味で予想を裏切ってわいのサッカー観を揺るがして欲しい,-4
12,CF誰かとってくるのかなレンタルでとか ただCFとってもオヤル優先だから出場機会ないよな,4
13,オヤルサバルはCFじゃなくてサイドに戻る可能性あるみたいだよ めっちゃ迷走してる,-1
14,システム変えるのか オスカルソンCFでバレネ左オヤル右で久保トップ下 ブライスとスビメンディのWボランチとか,-4
15,1ヶ月前からサディクのバレンシアへの噂が浮上してたけど飛ばしじゃなく無事に決まったんだね 少しでも持ち直せるといいな 久保はコパデルレイに調整でちょろっと出るか再来週のビジャレアル戦始動かわからないけど夏色々ありそうだけど飛躍の1年になるといいね,-4
1,ヒュルツェラー母国ドイツでも引き分けキングと記事になっている模様,-4
2,まだ半分なのに既に9分けだもんな グダグダだった前シーズンもブライトンはプレミアで一番引き分けが多かったけどそれでもシーズン通して12分けだぞ,-4
3,問題は追い付かれて引き分ける事なんだよな ヴィラ戦は引き分けだけど追い付いてだから比較的ストレスないし,-4
4,母国でもって言うけど別にここでは引き分けの多さは話題になってなかったような 追い付かれた2試合は選手のミス絡みだったし別にヒュルの責任じゃない ウィーファーやファーガソンやアヤリにリスク考えてプレーしろよとかイゴールにビハインド時はシンプルにプレーしろよとか普段から全く伝えてなかったら責任かもしれないけど,4
5,スコアレスドローじゃなくてしょうもない失点での引き分け多いのがなぁ,4
6,しょうもない失点は個々の選手の質や年齢がビッグ6より低いから仕方ない 前節の前半はダンクイゴール以外25歳以下の若者しかいなかったし,4
7,忘れがちだけどフィジカル強者が多いプレミアで育成のために即戦力でもない若手を頻繁に使ってるってけっこうな舐めプだよな それでプレミアで降格しないのが凄いところだし三笘達の力でもあるんだけど,-4
8,ってか本当に異常なくらいケガ人多すぎない 特にカップ戦があるわけでもないのに,4
9,遅効戦術のせいだよ 攻撃が遅いとマークの人数が増えて張り付かれるし 前線のボディコンタクトも増える,-3
10,ハイプレスショートカウンターやったらもっと壊れるぞ,3
11,最初はDFラインにかなり強度高くプレスしてたけど最近疲労とリスクを考慮してるのか明確なプレスの掛けどころ以外は引き気味に守ってるよね 三笘ルターあたりのプレスをサボらないスタメン組の疲労がだいぶ溜まってる アディングラやファーガソンは出番もらってるうちはハードワークだけでも頑張ってほしいわ,-3
12,ウェルベックもヒンシェルもまだ出れないらしいね 前回のアーセナル戦は前半途中にヒンシェルに偽SBをやらせて上手くいったけどあれ凄かったな この2人がいないのもきつそう,3
13,このチーム怪我人多すぎじゃないか,4
14,確かプレミアチームで1番か2番目に怪我人多いよ,4
15,若い選手が多いからだよ 若手ってのは基本的に怪我しやすい,2
16,サカうでごぬき中2日アーセナルに勝てんと未来ない頑張れ,-4
1,夏にフリーか冬に20mか延長か こんな状況になる前に動かなかったフロントが悪い,4
2,木曜のデイリーテレグラフスポーツレアルアレクサンダーアーノルド獲得に2000万ポンドでリバプールを試す,-4
3,アーノルドは意地でも残したい選手でもないし 別にレアルいってもいいけどな,-3
4,冬にアリバイオファー出して夏にフリーでとるマドリーのいつものやつ 払うはずだった移籍金の一部をボーナスにすることで マドリーもアーノルドもwinwin 残留させるとなると契約金も払わないと悪いからパリみたいに多額の金が必要,-3
5,DFの選手は大金貰えるわけじゃないし フリーで移籍してボーナスもらうのが1番賢いわな マドリーはそのこと熟知してるからリュディガーもアラバもフリー,-4
6,別にマドリーもちょうど安いから狙ってるわけで めちゃくちゃ欲しいってわけではないでしょ,-2
7,先出しレアルは年俸1500万提示してて 後出しリバポは2000万だから リバポの額に近づけて契約するだろうねえ SBにこんな高給無駄金乙としかw,-1
8,SBだけど1本のパスで得点生み出せるからなー アーノルド放出はどうやっても補弱よ 市場価値でもRSBで一番高いし,-3
9,アーノルドはパスで得点を生み出せるが守備で一失点するハイリスクハイリターンプレイヤーだからそんなに価値はない,4
10,マルカの番記者の1人からリバプールがアーノルドに新しいオファーを提示とか言ってるの笑う エドワーズになってより情報統制が厳しくなったから番記者に情報が降りなくなったからな 国内メディアもマルカの情報を引用してるのは酷いな FSGのドケチ路線のお陰でリバプールはお金に困ってないから無理して売る必要がないと言われてるのは皮肉だな FSGは金を持ってる共通認識はあるみたいだな,-2
11,オーウェンの言うことが本当ならアーノルドはもうレアルに移籍希望を伝えてる 夏にフリー移籍は痛すぎる,4
12,正直アーノルドが出ていくことよりもこのピリピリしたムードでこの先半年戦わなきゃいけないことの方がキツい,2
13,散々言ってるがアーノルドをサラー並みの高給で引き留めるほどの価値はないんだって 逸材のブラッドリーいるんだからこっち育てれば良い FSGの経営は正しい別にソバスライとかフラーフェンとか実績の割に給与高いし出し渋ってるわけでもない,-1
14,もしアーノルド居なくても何とかなるとは思うけどスカウサーを引き抜かれてクラブのプライドが傷つくこと移籍先が憎きレアルってのがな アンフィールドでブーイングされるアーノルドも見たくないしレアルで泣かず飛ばすのアーノルドも見たくない,4
15,TAAの話は飽きてきたな レアルは次候補でダロト獲得を検討なんてゴシップも出始めてる 夏に出て行くとなっても続報はシーズン後だろう,-1
16,出ていくんならシーズン後じゃ困るんだよなぁ ブラッドリー優先して使いたいし,-2
17,別に困らなくない 契約延長しないなら試合によってブラッドリー優先して使えばいいだけ 冬放出したら右SB出来るのはスペ2人になるんだぞ 今時点でその2人とも怪我してるわけだし,-1
18,レアルは残り1年で安く取れそうなやつに声かけてるだけだからな DFに移籍金出すつもりはないんだろう,2
1,スポルティングのCFを獲得要請か テンさんチルドレンで唯一頑張ってるホイルンドも放出かな,-3
2,スポルティングから補強したいとかマジ アモさん鬼かよどういう神経してんだ,3
3,アモリムが信頼出来る選手だから前監督もそうだった,-4
4,監督変えてSD切って他所より準備期間が短いこの状態で冬補強なんかしたらカモられるだけ それやったら無能フロント過ぎるからやめてほしい,4
5,教授にSDとして戻ってきてもらうのはダメなのかね 監督は素人だったけどSDはガチでしょ,-4
6,ラングニック自らユナイテッドを見限ったから今更ない,3
7,ガチだからこそユナイテッドに未来はないと見抜いて見限ったんだよ,3
8,確かにw 見る目あるわw,-4
9,アモさんスポルティングにお年玉,-4
10,取りたくてもお金使えないんですよ,4
11,アモリム ラッシュ放出してギェケレシュ欲しい ラッシュ出て行くにも買い手がいないので移籍しません このクラブこんなんばっかだな とにかく契約延長するも新たな選手と契約するにしても他のビッグクラブより年俸安くしないと駄目だわ,4
12,今一番愚かな動きはギェケレシュに150億だろうな 監督の希望で大金かけて教え子もってくればなんとかなるで同じこと繰り返しまくる気か,-2
13,これやっちゃうと既存の選手への求心力が一気に落ちるんだよな そして教え子が浮く 絶対やらん方がいいやり方,-1
14,ギョケレシュとか絶対通用しないわ 間違いなく金ドブになる,4
15,通用以前にボールが届かない,4
16,現状見てストライカーしかも教え子を一番に欲しがるのは大分無能臭してきたぞ,4
17,ギョケレシュ獲得ソースはミラーだろ,-4
18,この状況だから誰を獲得するにも 足下見られまくりだろうな,4
19,お金も実力もないけどもうオランダやポルトガルリーグから一か八かでとるのは嫌だ,4
1,キエーザにアタランタが興味しめしてるらしいが 移籍金でデケテラレorエデルソン取れたらかなりいい話だなw,-4
2,キエーザはアレか 寒過ぎて体調崩したのか,3
3,でもトリノって暖かいイメージは無いよな イタリア人は気温より天候でメンタルやられるイメージ,4
4,アタランタ今2位なのに主力を出すわけない 十字じん帯やったスカルヴィーニが狙い目 キエーザクアンサのレンタルでいける,-4
5,アタランタはいま1位やったわ デケテラもエデルソンもほぼフル出場してるから出さないでしょう スカルヴァーニは本来なら100m近く出さないと取れなかったが ACL断裂という大けがあがりなのでギャンブルだが投機的にアリ,-4
6,キエーザアタランタにローン,-4
7,ヒューズの今のとこの仕事キエーザ獲得とクアンサ契約延長くらいか,-4
8,一応ママルダも,-4
9,キエーザはまじでつかまされたな 半月板ぶっ壊れててトレーニングの強度が上げられないから いつまでたってもおさぼり,4
10,キエーザ昨シーズンは普通に試合に出てるからスタメン争い勝てる気配ないからやる気ないだけだと思うわ,4
11,ヒューズが焦ってメディカルに無理矢理通させたんだろうな あいつほんと見た目だけはカッコつけてて無能だわ エドワーズも知り合いなのかもしれんが早く切ってくれよ,4
12,無能なのはエドワーズヒューズ両方だろ 元からエドワーズヒューズコンビで補強やってたんだから,-1
13,移籍が全部当たるほうが異常だからキエーザ1人ぐらいはむしろ正常 全部当たるなら全チーム最強だ,-4
14,ちなみに当たり補強とされてる中盤の補強は全部シュマトケというね,-4
15,シュマトケは遠藤だけな マクアリはウォード案件でソボスライはむしろシュマトケは反対してたけどクラブがゴリ推した フラーフェンベルフは全会一致,-4
16,ヒューズはボーンマスの今の主力の大半を引っ張て来てるんだから見る目はあるんだろ 監督もイラオラやスロットを招聘してるしな ただ交渉能力があるのかどうかは甚だ疑問ではあるw,-2
17,見る目はあってもゲームチェンジャー()じゃなきゃ補強資金下りないんだからSDもやりようが無いわな無駄に選り好みした挙句スビメンディに逃げられキエーザみたいなアレを掴まされるのが今のリバポ,3
18,キーエザってスロットが取ってきたんじゃないの,-3
19,契約上今スロットに補強権限ほとんどないよ,4
1,2023年からサウジアラビアのアル・ナスルでプレーするクリスティアーノ・ロナウド かつてリオネル・メッシもプレーしたリーグアン(フランス1部リーグ)よりもサウジリーグのほうが上だという発言を再度したと話題になっている ロナウドはドバイで行われたGlobe Soccer Awardsでこう述べた 簡単なことさ自分がサウジでプレーしているから言ってるわけじゃない他人の考えはどうでもいいサウジに行って見て気温3840度のなかで走ってみるべきだフランスはPSGしかないそれ以外は終わっているそれが自分の意見だ このロナウドの発言にリーグアン公式が反応した スペイン語版の公式Xがメッシは38度のなかでプレーしたというキャプションとともにアルゼンチン代表が2022年カタールW杯で優勝した際の写真を投稿していたのだ 羊(GOAT)の絵文字もそえていたがこれは史上最高選手(Greatest Of All Time)を意味するもの,-4
2,どういうことや 気温40度でサッカーしてるからサウジのが上って事 なんか関係あんの,3
3,ならどうしてサウジ代表はそこまで強くないんだろ ラリーガプレミアブンデスセリエAリーグアン リーグが強い国は必ずと言っていいほど強豪国だけど,-3
4,助っ人でレベル上げてるんで代表選手がリーグで出場機会が少ない,-3
5,ロナウドのアル・ナスルはサウナ人の選手23人しか出てないから,-4
