number,text,sentiment,sentiment_score,stance,stance_score
6,echoの4点もなかなか衝撃だったが2点はさすがにやべーな,NEGATIVE (0.142),0.142,強く反対 (0.263),0.263
7,リバプールファンが求めるものはシンプルよな今も昔も走って戦う選手が大好き アーノルドみたいなムラッ気の激しいやつはやらかしたときに庇ってもらえない,NEGATIVE (0.819),0.819,強く反対 (0.271),0.271
8,ロボは単純な衰えだからどうしようもないな ファビーニョもそうだが30前後で急激に衰え来たな フィルミーノもそうだったしな 勤続疲労は休めば回復するレベルじゃないんだろう クイックネスが無くなった 相手アタッカーの切り返しに簡単に振られて抜かれたクロスを上げられたりするのは衰えの兆候,NEGATIVE (0.772),0.772,賛成 (0.261),0.261
9,ユナイテッドが中一週間で良くなっていましたよね アーノルドのところを徹底的に攻めるという 昨シーズンのサッカーやってきた,POSITIVE (0.934),0.934,強く賛成 (0.247),0.247
10,パシエンシアはブラジルに移籍の話しがあるんだな 広島に半年しかいないとか,NEUTRAL (0.755),0.755,強く反対 (0.283),0.283
11,パシエンシア広島退団かw,NEUTRAL (0.658),0.658,強く反対 (0.300),0.3
12,パシエンシア退団へ,NEUTRAL (0.725),0.725,強く反対 (0.269),0.269
13,スポルチレシフェの新監督がヘパというポルトガル人になるから呼ばれたのかな,NEUTRAL (0.915),0.915,強く反対 (0.263),0.263
14,奥さんもブラジル人らしい,NEUTRAL (0.866),0.866,強く反対 (0.279),0.279
15,パシエンシアがすポルチ・レシフェへ移籍ってこれか,NEUTRAL (0.505),0.505,強く反対 (0.287),0.287
16,広島はアルスラン以外の前線の外国人いなくなったな,NEUTRAL (0.650),0.65,強く反対 (0.275),0.275
17,マルコス・ジュニオール,NEUTRAL (0.813),0.813,賛成 (0.238),0.238
18,忘れてたてか試合出てる印象ほとんどないわ,NEUTRAL (0.256),0.256,強く反対 (0.340),0.34
19,パシエンシアは半年しかいなかったからほぼ転売だなw 玉突きで誰か引き抜かれるか,NEUTRAL (0.609),0.609,強く反対 (0.264),0.264
20,パシエンシア微妙だったし移籍金とれるならでかいよなあ でもブラジルが金払うか,NEGATIVE (0.247),0.247,強く反対 (0.250),0.25
21,そもそもパシエンシアが広島といつまでの契約だったのか,NEUTRAL (0.459),0.459,強く反対 (0.272),0.272
22,広島外国人マルコスは稼働率で問題あるしアルスランしかいないのは沢山補強してもプラマイゼロなのでは もう一人外国人アタッカー必要かと,NEUTRAL (0.028),0.028,強く反対 (0.303),0.303
23,広島はパシエンシアは要らなかったじゃね 整理できて良かったのでは,NEUTRAL (0.961),0.961,強く反対 (0.277),0.277
24,必要は無さそうだけどそうすると加藤1トップが待っている ジャーメインはシャドーだし,NEUTRAL (0.575),0.575,強く反対 (0.241),0.241
25,広島番記者の記事で 加藤をシャドーにするためのジャーメイントップ想定の獲得だって言ってたけども,NEUTRAL (0.811),0.811,強く反対 (0.253),0.253
26,ゴンサロ退団,NEUTRAL (0.549),0.549,強く反対 (0.253),0.253
27,ゴンサロ嫁があんだけ日本大好きなのにブラジル行かんでしょ 治安や環境考えると子育てには日本が安心だわ,NEUTRAL (0.498),0.498,強く反対 (0.273),0.273
28,嫁はブラジル人でしょ いい感じの日本を探して楽しんでもう飽きたかもしれんしな,NEGATIVE (0.063),0.063,強く反対 (0.286),0.286
29,パシエンシアは期待値高かったけどまああんな感じだったし 移籍金たっぷり取れるんか,NEUTRAL (0.564),0.564,強く反対 (0.239),0.239
30,判断悪くて必要以上にコネるし体張るプレーもイマイチだったな来シーズンもいるから我慢して使ってるのかと思ったけど 移籍金取れるなら非常にありがたい 即戦力を獲ろう,POSITIVE (0.663),0.663,強く賛成 (0.246),0.246
31,まぁ去年に関しては完全に期待外れだったな,NEGATIVE (0.791),0.791,強く反対 (0.255),0.255
32,一応650万人フォロワーがいるプラジルのニュース垢が報じてる確定とは書いてないが パシエンシアの期待度がどうであれこのままでは1トップのジャメ以外のオプションがなくなる過密日程考えたらリーグ序盤を愛簾や中2日の陸次樹で戦うことになるぞ,NEUTRAL (0.345),0.345,強く反対 (0.271),0.271
33,ブラジルのクラブは金払いが悪いからなぁ ジュニオール・サントスの悪夢が,NEGATIVE (0.761),0.761,強く反対 (0.289),0.289
34,こんな短期で出ていくのが本当ならコンディション云々もそうだけどやる気もやっぱ無かったということでいいな,NEUTRAL (0.822),0.822,強く反対 (0.251),0.251
35,ゴンサロは使えないけどカップ戦とか消化試合には頭数としては欲しい そのレベルの選手,POSITIVE (0.111),0.111,強く反対 (0.259),0.259
36,パシエンシアいまいちだし移籍金とれるならラッキーだろ もちろん代わりの外国人とる前提だけど,NEUTRAL (0.352),0.352,強く反対 (0.251),0.251
37,大元の記事 Xのフォロワーは658万人,NEUTRAL (0.659),0.659,強く反対 (0.225),0.225
38,めちゃくちゃパシエンシア悪く言うヤツいるけど一年目って考えたらピエロスの一年目よりは全然良かったけどな,NEUTRAL (0.369),0.369,強く反対 (0.240),0.24
39,元ポルトガル代表FWパシエンシア半年で広島退団かブラジル1部クラブが獲得へ(GOAL) Yahooニュース 嫁がブラジル人なら十二分にあり得る話か,NEUTRAL (0.664),0.664,強く反対 (0.289),0.289
40,GOALにも出たのかよwww,NEUTRAL (0.818),0.818,強く反対 (0.299),0.299
41,情報は同じブラジルメディアgeを元に国内メディアが記事にしてるだけ,NEUTRAL (0.825),0.825,強く反対 (0.254),0.254
42,いや普通にパシエンシア流出がマジなら痛手だわ まだフィットしきれてなかったとはいえ今季に向けてある程度は計算できた選手 ピエロスとヴィエイラもすでに退団して今新加入のジャーメインとアレンだけだぞ,NEGATIVE (0.968),0.968,強く反対 (0.252),0.252
43,ゴンサロよインタビューで偉そうにのたまってた割にチャンスで外しまくってたが2シーズン目こそと期待してたのにこれで移籍したら承知せんぞ ヨーロッパのサッカーの方がインテンシティが高いピッチ上の秩序と戦術的規律がより整っていると思う日本での試合はいつも少し粗いところがあるだから僕たちフォワードはゴールを決めるチャンスや瞬間をたくさん迎えるんだ,NEUTRAL (0.168),0.168,強く賛成 (0.253),0.253
44,パシエンシア退団は正直残念ではないサポのほうが多いんじゃないか シーズン終了直後くらいにゴンサロ退団しそうとか言ってる人いたよな,NEUTRAL (0.113),0.113,強く反対 (0.297),0.297
45,パシエンシアはもう1年みたかった,NEUTRAL (0.515),0.515,強く反対 (0.266),0.266
46,別にパシエンシア自体に愛着があるわけではないが 1番手2番手だったピエロスもしくはパシエンシアどっちかが残った上でジャーメイン獲得するのと どっちもいなくなってジャーメイン獲得するんじゃだいぶ意味が違うだろ これでは人入れ換えただけで上積みがない,NEGATIVE (0.007),0.007,賛成 (0.249),0.249
47,パシエンシア期待してたんだけどなぁ スタメン級のFWと控えのFWでもう2枚ぐらい前欲しいな,NEUTRAL (0.443),0.443,強く反対 (0.262),0.262
48,パシエンシアはまあ仕方ないかな 言語や習慣が違うなか小さい子を育てるのはしんどいだろう 状況的には日本に来たのが不思議なレベル,NEUTRAL (0.484),0.484,強く反対 (0.254),0.254
49,XI Ortega Moreno Lewis Akanji Ake Gvardiol Kovacic De Bruyne (C) Bernardo Savinho Foden Haaland SUBS Carson Walker Grealish Doku Gundogan Nunes SimpsonPusey OReilly McAtee,NEUTRAL (0.331),0.331,強く反対 (0.268),0.268
50,デブでれるんかいな,NEGATIVE (0.641),0.641,強く反対 (0.262),0.262
51,サビーニョキタ(゚゚),NEUTRAL (0.571),0.571,賛成 (0.289),0.289
52,サヴィーニョナイスゴール,NEUTRAL (0.645),0.645,強く反対 (0.255),0.255
53,は入った 吹っ切れたかなサビーニョ,POSITIVE (0.892),0.892,強く反対 (0.264),0.264
54,サヴィーニョついにものになったな,POSITIVE (0.037),0.037,強く反対 (0.258),0.258
55,たぶん オウン でもいい,POSITIVE (0.623),0.623,強く反対 (0.290),0.29
56,ヒダリーニョまじ怪物,NEUTRAL (0.274),0.274,賛成 (0.260),0.26
57,デブもフォーデンも調子良さそう,POSITIVE (0.866),0.866,強く反対 (0.268),0.268
58,コバチッチすげーよこいつ,POSITIVE (0.368),0.368,賛成 (0.246),0.246
59,コバチ今のでもうタックル4回目だと,NEUTRAL (0.496),0.496,強く反対 (0.262),0.262
60,もうコバチに出てしまったか,NEUTRAL (0.469),0.469,強く反対 (0.249),0.249
61,コバチに退場されると最低2試合地獄を見るからそれだけは勘弁してくれ,NEGATIVE (0.846),0.846,強く反対 (0.319),0.319
62,リコうめえ,NEUTRAL (0.169),0.169,強く反対 (0.228),0.228
63,デブライネがいいと見てて面白いわ,POSITIVE (0.981),0.981,強く反対 (0.295),0.295
64,やっぱリコは中盤より前で使うべきだろ SBで使う選手じゃない ベルナルドのポジションで使うべき,NEUTRAL (0.210),0.21,強く反対 (0.274),0.274
65,リコいいのあるじゃん,POSITIVE (0.953),0.953,強く反対 (0.252),0.252
66,リコいいシュートだった,POSITIVE (0.931),0.931,強く反対 (0.257),0.257
67,追加点きたー,POSITIVE (0.320),0.32,強く反対 (0.252),0.252
68,最高のゴールキタ(゚゚),POSITIVE (0.969),0.969,賛成 (0.261),0.261
69,ハーランドきたー あらたなホットラインや,POSITIVE (0.958),0.958,強く反対 (0.274),0.274
70,サビーニョすげえええええええええ,POSITIVE (0.963),0.963,強く反対 (0.275),0.275
71,サヴィーニョハーランドホットライン,NEUTRAL (0.774),0.774,強く反対 (0.348),0.348
72,サビーニョハーランドきたーーーーーーーーーーっ,POSITIVE (0.912),0.912,賛成 (0.257),0.257
73,これは後半ブースト来ますわ サビーニョ怪我しないで,NEUTRAL (0.502),0.502,強く反対 (0.282),0.282
74,やっぱ仕掛けてクロスなんだよな ハゲの不自由サッカーはなんだったのか,NEGATIVE (0.058),0.058,強く反対 (0.258),0.258
75,トラップステップドリブルクロス 一連の流れが左ビーニョ完璧だったな,POSITIVE (0.608),0.608,強く反対 (0.291),0.291
76,またキタ(゚゚),NEUTRAL (0.680),0.68,強く反対 (0.255),0.255
77,サヴィーニョからハーランドまたきたー,POSITIVE (0.012),0.012,強く反対 (0.292),0.292
78,サビちゃん最高,POSITIVE (0.988),0.988,強く反対 (0.273),0.273
79,このコンビ最強すぎだろ,POSITIVE (0.681),0.681,強く反対 (0.258),0.258
80,ウェストハムマジでありがとう,POSITIVE (0.958),0.958,強く反対 (0.245),0.245
81,ハーランドの使い方はこれでええんよな,POSITIVE (0.810),0.81,強く反対 (0.304),0.304
82,フォーデンもきたーーーーーーーーーーっ,POSITIVE (0.857),0.857,強く反対 (0.268),0.268
83,久々に楽しい試合だ,POSITIVE (0.988),0.988,強く反対 (0.283),0.283
84,ヒダリーニョでご飯三杯いけるわ ハーランドのスピードを一番うまく引き出せるのはファビーニョだけ,POSITIVE (0.520),0.52,強く反対 (0.245),0.245
85,やっぱ試合が1週間空くと動きが全然違うなぁ,NEUTRAL (0.972),0.972,強く反対 (0.288),0.288
86,コバチ乙 今日めっちゃ守備してたな,NEUTRAL (0.294),0.294,強く反対 (0.267),0.267
87,コバチ怪我とかしてないといいんだけどな,NEUTRAL (0.432),0.432,強く賛成 (0.276),0.276
88,ウォーカーもう,NEUTRAL (0.825),0.825,賛成 (0.266),0.266
89,ウォーカーここから退場とかやめてくれよ,NEGATIVE (0.932),0.932,強く反対 (0.285),0.285
90,こっわ,NEUTRAL (0.574),0.574,賛成 (0.289),0.289
91,あーあ決められちゃったか,NEUTRAL (0.708),0.708,強く反対 (0.236),0.236
92,あーあ 完全復活はまだ遠い,NEGATIVE (0.827),0.827,強く反対 (0.283),0.283
93,今のもウォーカーが戻んねえからじゃね,NEGATIVE (0.080),0.08,強く反対 (0.284),0.284
94,失点シーンも斜めに裏走られたの完全に見落としてたよな,NEGATIVE (0.974),0.974,強く賛成 (0.254),0.254
95,オルテガ大丈夫かな 思いっきり背中打った感じだけど,NEUTRAL (0.180),0.18,強く反対 (0.256),0.256
96,ギュンが本当に何もしねー 触らないし守備もダメだしすぐ奪われるしどういうつもりなんだ,NEGATIVE (0.898),0.898,強く反対 (0.283),0.283
97,ギュンドアン入った途端に守備が緩くなるのほんとつらい,NEGATIVE (0.990),0.99,強く反対 (0.313),0.313
98,連勝キタ(゚゚),NEUTRAL (0.405),0.405,賛成 (0.256),0.256
99,良い形で勝ったよかった,POSITIVE (0.979),0.979,強く反対 (0.238),0.238
100,お疲れ ほんと守備固め出来ないけど試合は楽しかった,POSITIVE (0.986),0.986,強く反対 (0.275),0.275
1,ウォーカーとかギュンドアン見てると相対的にリコがよく見えてくる不思議,NEUTRAL (0.732),0.732,強く反対 (0.269),0.269
2,ギュンも昔は気の利いたスルーパスとか出せてたのになぁ コバチがボール持つと中央で前へボール運ばれるの警戒して相手を引きつけれるのは強みよな,POSITIVE (0.607),0.607,強く反対 (0.259),0.259
3,やっとサビーニョは左とわかったかハゲも 右でカットインの選手じゃないのよ,NEUTRAL (0.520),0.52,強く反対 (0.251),0.251
4,とりあえずウォーカーギュンドアンの代替はもう冬に獲っとくべきだな,NEUTRAL (0.234),0.234,強く反対 (0.266),0.266
5,結局テンポよくいいパス出せればハーランドなんてすぐ決めるんだわそれにしてもサヴィーニョ右サイドだとあれだったのに左だとすげえな,NEUTRAL (0.670),0.67,強く反対 (0.243),0.243
6,レヴァークーゼンと一緒にジローナが去年強いって話題になったとき見てた人は本職左なのみんな知ってた 知らなかったのはペップだけ ドクも本職と逆で使ったりしてたし何考えてるかわからん,NEGATIVE (0.742),0.742,強く反対 (0.288),0.288
7,ドクもサヴィーニョと同じでたまに逆足サイドもやるけどブレイクしたのは順足サイドなんだよな スタートから左サヴィーニョ右ドクで見たいわ,NEUTRAL (0.434),0.434,強く賛成 (0.239),0.239
8,シーズン序盤でハゲはドク左サヴィーニョ右でスタートしたのに選手同士が勝手に左右変えてた試合あったな,NEGATIVE (0.335),0.335,強く反対 (0.254),0.254
9,プレミアの引き分け王また引き分け,NEUTRAL (0.563),0.563,反対 (0.234),0.234
10,点は入ったけど淡泊な試合だったなー,POSITIVE (0.229),0.229,強く反対 (0.278),0.278
11,ペドロのおかげで引き分けに持ち込めただけでもいいか,POSITIVE (0.707),0.707,強く反対 (0.243),0.243
12,勝てたやろ,POSITIVE (0.837),0.837,強く反対 (0.293),0.293
13,三笘今季最悪の出来じゃね やっぱコンディション悪いのかな,NEGATIVE (0.968),0.968,強く反対 (0.249),0.249
14,こつこつと勝ち点を1ずつ集めてます,POSITIVE (0.453),0.453,賛成 (0.239),0.239
15,普通に良い試合だったと思う,POSITIVE (0.961),0.961,強く反対 (0.264),0.264
16,また引き分けで草 ペドロ神のおかげやぞ,POSITIVE (0.940),0.94,強く反対 (0.301),0.301
17,サカとティンバーいなかったのにな てか三笘調子悪そうだった,NEGATIVE (0.976),0.976,強く反対 (0.272),0.272
18,やっぱコンディション不良かもな三笘,NEGATIVE (0.988),0.988,強く反対 (0.293),0.293
19,たまには晴天の試合も見たいんですイギリスの天気さんよろしく,POSITIVE (0.897),0.897,強く反対 (0.282),0.282
20,三笘のスタベンはコンディションだね 腰か右足痛めてそう,NEGATIVE (0.927),0.927,強く反対 (0.261),0.261
21,足元へのパスが来なかったななんかロングボール増えた気がするブライトンらしくない,NEGATIVE (0.849),0.849,強く反対 (0.247),0.247
22,三笘トラップがボロボロだった フォーム落としてるからベンチスタートなんかな,NEUTRAL (0.949),0.949,強く反対 (0.285),0.285
23,あんなクソパスばっか出されてトラップ乱れてるとか言われてもな 何回後ろ向きでトラップさせんだよ,NEGATIVE (0.524),0.524,強く反対 (0.253),0.253
24,ブライトンはウェルベックみたいになってるトップが中盤に降りて中継役をやる選手が居てこその戦術だよな その役はペドロよりルターの方が合ってる,NEUTRAL (0.096),0.096,強く反対 (0.266),0.266
25,ファンヘッケの三苫へのパスの質が今日は悪すぎた ありゃ無理だよ,NEGATIVE (0.969),0.969,強く反対 (0.285),0.285
26,VARある時代にとことん厭らしくプレーできるフェルトマンがすごかった そのくせイエローになったのはプロフェッショナルファウルのときだけってのが更にすごい アーセナルも決定力なさ過ぎて強いって感じではなかったな 三笘も雨だしそんなに調子良くもなさそうだしで普通にスタメン落ちぽかった それでもアディングラとたいして変わらん感じなのはブライトンにとって頭が痛いところだろうな,NEGATIVE (0.498),0.498,強く反対 (0.256),0.256
27,フェルトマンとウェブスター良かったイゴールとダンク欠いても失点抑えられそうでホッとした,POSITIVE (0.576),0.576,強く反対 (0.257),0.257
28,ウェブスター今日よかったなちょっとだけ信頼度上がったぞ,POSITIVE (0.978),0.978,強く反対 (0.263),0.263
29,ウェブスター心配だったけどそつなくこなしてたね,POSITIVE (0.822),0.822,強く賛成 (0.250),0.25
30,ミンテの速い球全速力でニア突っ込んでたら間に合ってただろうけどそもそもスタート位置が低いんだよな ピニャンとバランス取るためだけどピニャンを介護しても何も生まれないし守備的sbとれとずっと思うわ,NEUTRAL (0.397),0.397,強く反対 (0.274),0.274
31,今日は雨のせいか味方からの糞パスが多すぎてコンディションどうこうの判断がわからんわ ただ守備は相変わらず頑張ってたから前半の失点は防げたかもな,NEGATIVE (0.146),0.146,強く反対 (0.251),0.251
32,良い時の三笘なら雨でもトラップできそうな場面ミスってたイメージあるけど分からんね,NEGATIVE (0.288),0.288,強く賛成 (0.267),0.267
33,この悪天候続くならなおさら体冷えたら故障したりいいことないからお休みでもイイ,NEUTRAL (0.728),0.728,強く反対 (0.276),0.276
34,いきなりエンシソ2試合使ってまた使わなくなったりアディングラスタメンにしてみたり頑なにグルダ使い続けたり ヒュルツェラーが何をしたいのか全然わからん,NEGATIVE (0.960),0.96,強く反対 (0.281),0.281
35,ギャンブル的要素に期待してんだと思う,NEUTRAL (0.728),0.728,強く賛成 (0.278),0.278
36,今日に関してはヒュルツェラーやれる事やった感じするけどなコーナー対策用意してきたおかげで引き分けに持って行けたし交代策も間違ってなかったしスタメンで何で〇〇使わないんだとかはあるけどもこの試合でヒュルツェラー責めるのは違うわ,NEUTRAL (0.885),0.885,強く反対 (0.260),0.26
37,降格争いしてるクラブに追いつかれて引き分けとか負けた上に内容もクソみたいな事がちょこちょこあったからな アーセナル相手に引き分けでヤバいピンチも2つくらい今のチームの状態でこれならじゅうぶんだ,NEGATIVE (0.068),0.068,強く反対 (0.266),0.266
38,終始攻め手にかけたな,NEUTRAL (0.244),0.244,強く反対 (0.298),0.298
39,もうスローインも全然歩いてるし限界だったな とりあえず前線は誰か取らないとだな,NEUTRAL (0.491),0.491,強く反対 (0.259),0.259
40,ひでえ試合だ コンディションが終わりすぎてるし交代カードも切れねえし ヌワネリ変えるの早すぎたとは思う,NEUTRAL (0.176),0.176,強く反対 (0.294),0.294
41,ヌワネリもっと引っ張ってよかったんでは,POSITIVE (0.589),0.589,強く反対 (0.258),0.258
42,トーマス判断もキックもおかしかった,NEGATIVE (0.971),0.971,強く反対 (0.252),0.252
43,頭同士ぶつかってPKになりました それだけやん今期のブライトン戦なんなの,NEUTRAL (0.618),0.618,賛成 (0.240),0.24
44,ドリブラー居なさすぎる どうやって点取るんだよこれ,NEGATIVE (0.553),0.553,強く反対 (0.293),0.293
45,マル右サイド置いても何も起きねえわ トロサール右の方がまだマシじゃないのこれ,NEGATIVE (0.006),0.006,強く反対 (0.283),0.283
46,でもヌワネリゴール以外はキープも収めるのもできてなかったから仕方ない,NEGATIVE (0.968),0.968,強く反対 (0.253),0.253
47,マルティネッリができてたかというと まあ1点リードしてたしトーマスの介護とヌワネリの起用制限含めて交代は悪い策ではなかったよね ただ交代先のWGがいなすぎるだけ,NEUTRAL (0.198),0.198,強く賛成 (0.246),0.246
48,むしろヌワネリをもっとゴールに近いポジションで使うべき,NEUTRAL (0.591),0.591,強く反対 (0.264),0.264
49,折り返しでサカいなくて11ポイント差はちょっと遠いなと言うしかないな 上見る前に自分たちがやることやらなきゃいけないわ,NEGATIVE (0.245),0.245,賛成 (0.250),0.25
50,今シーズンはどっちもあることが大体悪い方にいってるな ここ数シーズンは上振れ多かったし揺り戻しかな しかし交代できる選手はいないわ出てくるのも調子よくないわでなかなか厳しい体調面,NEGATIVE (0.947),0.947,強く反対 (0.254),0.254
51,まあ引き分けでしょうがない展開だった リバプール楽に逃げそうだ追うほうが勝ち点ボロボロこぼしてるし,NEGATIVE (0.326),0.326,強く反対 (0.264),0.264
52,サカの怪我よりウーデが全く調子が上向かない方がやべえな,NEGATIVE (0.971),0.971,強く反対 (0.250),0.25
53,マジでつまらんとしか言えん試合だったな 日程終わってるし案の定のテイラーだし選手は選手で誰からも覇気が感じれられんしアルテタもいつも通り策はねーし,NEGATIVE (0.860),0.86,強く反対 (0.264),0.264
54,正直打つ手なかったしやっぱりガクっと後半落ちたな ライスも重そうだったしウーデはコンディション最悪 高さ勝負もハヴァーツいないし,NEGATIVE (0.803),0.803,強く反対 (0.262),0.262
55,メリーノに夢中でWGとCFを先延ばしにしたのが最大の原因だな アルテタのメリーノに対する期待値がどれほどかは知らんがこの程度なら30mの価値はないなどうせ来年でフリーだったし一年待って他の選手狙った方がよっぽど良かった,NEUTRAL (0.170),0.17,強く反対 (0.233),0.233
56,ずっと輝かなかったジャカを 一列上げてハマったのが アルテタは忘れられないんだ アタッカー補強なしで 昨季ハヴァーツ今季メリーノと 左IHに無駄遣いしてる,POSITIVE (0.090),0.09,強く反対 (0.264),0.264
57,夏の移籍市場でまともに前線補強しないくせに放出だけ調子乗ってしまくってたところからこうなるのは見えてたな ネルソンとか出す理由ひとつもなかったろ,NEGATIVE (0.823),0.823,強く反対 (0.291),0.291
58,ストライカーの問題じゃないだろう今日は そこまで持って行けてないやん,NEGATIVE (0.957),0.957,強く反対 (0.270),0.27
59,ストライカーじゃなくてジェズスが連戦でプレー精度がガクって落ちたせいでロングボール蹴ってもまともにおさめられんし縦パスもキープ出来ないからラインが押し上げられん方が問題だった ぶっちゃけ今日はブライトンが前掛かりだった分ハヴァーツが最前線にいれば恐らくロングボールでプレス回避してもうちょいシンプルにボール運べたはずなんよ,NEGATIVE (0.256),0.256,賛成 (0.261),0.261
60,正直これは夏の補強失敗が響いてるな 怪我多いけカラフィオーリが使えてるぐらいでスターリングは論外だしメリーノも全くよかねえわ ほんで前線足りてないわけだし夏から始まってたわけだ,NEGATIVE (0.144),0.144,強く反対 (0.266),0.266
61,スターリング獲得面白いって言ってたやつ多いし メリーノも噂になったら絶対獲得しろって流れだったわw 結果論がすぎるって,NEUTRAL (0.274),0.274,強く反対 (0.240),0.24
62,スターリングは前線にまともな噂なく最終日までもつれ込んだからもう取るだけマシって風潮だったかと,NEGATIVE (0.535),0.535,強く反対 (0.282),0.282
63,病気でハヴァーツまでいなかったしできることが限られていた か優勝するには勝つしかないのはわかるけどこういう試合の後引きずらないで次勝つのが重要,NEUTRAL (0.366),0.366,強く反対 (0.286),0.286
64,もうそんな悠長な事言える勝ち点差じゃないよ,NEGATIVE (0.032),0.032,強く反対 (0.252),0.252
65,中2日アウェイ連戦とかただでさえキツイのにチーム内で病気蔓延してるのついてなさすぎる 来シーズンは運気戻ってこい,NEGATIVE (0.526),0.526,強く反対 (0.277),0.277
66,メリーノは足元そこそこ出来るけど超絶上手いわけでもないし何よりジャカとタメ張れるレベルで鈍足とは聞いてなかった 守れる範囲が狭すぎるし相手が少しでもスピードに乗ってると簡単に躱される 多分メリーノのベストポジションは潰しタイプのアンカーだと思うしIHとしては機動力と特に高くないパス精度が致命的,NEGATIVE (0.815),0.815,賛成 (0.240),0.24
67,スペインだとメリーノのデカさと強さが効いてたのよ マドリー以外で黒人だらけのチームなんて皆無だし まぁアーセナルでも頑張ってるとは思うけどライスとの兼ね合いがね,NEUTRAL (0.644),0.644,強く反対 (0.281),0.281
68,結局トーマスだってスペインだとめちゃくちゃ体強い選手だったけどプレミアだとまあいょっと強いぐらいでむしろ技巧派だし リーガからは技術が売りの選手取らなきゃダメだな,NEGATIVE (0.604),0.604,強く反対 (0.280),0.28
69,ライスと並べてりゃそりゃ手堅いチームになっちゃうわな どっちかにもっと創造性があればね,POSITIVE (0.945),0.945,強く反対 (0.266),0.266
70,別に今日だけの出来で言うわけじゃないけどジョルジのここまでの起用具合とトーマスのハイパフォーマンス見るにジョルジは今シーズン限りかな トーマスは何がなんでも延長しないと,POSITIVE (0.565),0.565,強く反対 (0.260),0.26
71,アルテタ(PK判定について)このような判定はこれまで見たことがない また初めての判定が更新されてしまったか,NEUTRAL (0.372),0.372,賛成 (0.243),0.243
72,ヌワネリも怪我かよ不運すぎて笑えねぇ 過払いしてでもFW必須,NEGATIVE (0.251),0.251,強く反対 (0.290),0.29
73,ドリブルで抜くことを諦めてるマルティネッリと二桁得点がやっとのCF陣じゃ戦術でどうにかするのはきついわ 極論左にムシアラCFにイサクなら問題はほぼ解決してる,NEUTRAL (0.987),0.987,強く反対 (0.248),0.248
74,まあその二人取ってこいとは言わないけど去年のシティがハーランドで今季リバプールはサラーで大した結果出してないけど一応チェルシーはパーマーって数字依存してる選手いるわけだ もはやプレミアの優勝争いってそのぐらいの個がある選手当てなきゃ挑めないな 絶対に日程や怪我人で内容悪い時が来るんだしその時にこいつだけで勝ったなみたいな活躍できる選手は要る,NEUTRAL (0.133),0.133,賛成 (0.276),0.276
75,リプレイ見たらボールに触った後の接触じゃん これでPKってなんなんだろう ほんと意味不明,NEGATIVE (0.881),0.881,強く反対 (0.260),0.26
76,PKありとはいえxGも完敗だったようだしブライトンみたいなカウンターチームには攻め切らんと 後半は酷かった,NEGATIVE (0.959),0.959,強く賛成 (0.248),0.248
77,試合を安定化するために速攻を無くしてるけど 攻守に安定しすぎて試合が動かん,NEGATIVE (0.822),0.822,強く反対 (0.264),0.264
78,マグワイア1年延長,POSITIVE (0.466),0.466,強く反対 (0.306),0.306
79,BREAKING Manchester United trigger oneyear option to extend Harry Maguires contract until June 2026 We will trigger our option we need Harry a lot says Rúben Amorim He needs to improve as a leader because we are starving for leaders on the pitch 速報マンチェスター・ユナイテッドがハリー・マグワイアとの契約を2026年6月まで延長する1年間のオプションを発動 我々はオプションを発動するだろうハリーが本当に必要なんだとルーベン・アモリムは言う 彼はリーダーとして成長する必要がある我々はピッチ上のリーダーを渇望しているからだ 草,POSITIVE (0.696),0.696,強く反対 (0.253),0.253
80,アマドとの契約延長が間近 マグワイアと延長OP行使 ラッシュは体調不良でトレーニングしておらずリバポ戦欠場濃厚 うおおおおおおおおおおおおお,NEGATIVE (0.584),0.584,強く反対 (0.284),0.284
81,少し位のアマモリ程度で騒ぐんじゃねえ 我々はFCマグワイヤだ,NEGATIVE (0.908),0.908,強く反対 (0.261),0.261
82,マグ兄1年延長 これでもし夏売るってなってもお金残してくれる,POSITIVE (0.634),0.634,強く反対 (0.269),0.269
83,マグワイアに誰が金払うの,NEUTRAL (0.598),0.598,強く反対 (0.260),0.26
84,年俸だけ妥協出来れば普通にプレミアや他国で欲しがるチームあるだろ,NEUTRAL (0.653),0.653,強く反対 (0.301),0.301
85,デリフト一人じゃ変わらんのか,NEUTRAL (0.670),0.67,強く反対 (0.274),0.274
86,マグワイアなんかいつまで使ってるんだよ そんなんだから14位なんだろ,NEUTRAL (0.676),0.676,強く反対 (0.252),0.252
87,マグワイアに文句言ってたのにデリフト連れて来たのは何だったんだろうな結局マグワイアの方が良い始末だし,NEUTRAL (0.378),0.378,強く反対 (0.263),0.263
88,元ユナイテッドエヴラ ハリー・マグワイアにキャプテンマークの腕章を返しなさい 彼がリーダーシップを発揮してきたのだ,POSITIVE (0.319),0.319,強く反対 (0.230),0.23
89,ブルーノよくキャプテンとして頑張ってきたけどもう限界だわな,NEGATIVE (0.940),0.94,強く反対 (0.287),0.287
90,ブルーノ他のクラブだったらもっと輝けたしタイトルもたくさん獲れたんだろうな 悲しい,NEGATIVE (0.980),0.98,強く反対 (0.257),0.257
91,ケインせやな,NEUTRAL (0.083),0.083,強く反対 (0.274),0.274
